Company,Valuation,Funding,Select Investors,Country,Continent,Founders
ElasticRun,$2B,$435M,Goldman Sachs, SoftBank Vision Fund,India,"Sandeep Deshmukh, Shitiz Bansal, Saurabh Nigam"
Andela,$2B,$381M,SoftBank Vision Fund,United States,North America,"Jeremy Johnson, Iyinoluwa Aboyeji, Nadayar Enegesi, Brice Nkengsa, Ian Carnevale, Christina Sass"
Airbyte,$2B,$181M,Altimeter Capital, Coatue,United States,"Michel Tricot, Jean Lafleur"
CoinList,$2B,$119M,Accomplice, Agman Partners,United States,"Andrew Bromberg, Brian Tubergen, Graham Jenkin, Joshua Slayton, Kendrick Nguyen, Paul Menchov"
Veho,$2B,$299M,SoftBank Vision Fund, Tiger Global Management,United States,"Itamar Zur, Fred Cook"
Veriff,$2B,$177M,Alkeon Capital, Tiger Global Management,Estonia,Kaarel Kotkas
Matillion,$2B,$290M,Databricks Ventures,United Kingdom,Europe,Matthew Scullion
Boba Network,$2B,$45M,Valour,United States,North America,"Alan Chiu, Jan Liphardt"
Olist,$2B,$320M,Wellington Management,Brazil,South America,Tiago Dalvi
Perfect Day,$2B,$802M,CPP Investments, Temasek Holdings,United States,"Ryan Pandya, Perumal Gandhi"
Cognite,$2B,$225M,TCV,Norway,Europe,"Fredrik Anfinsen, Geir Engdahl, John Markus Lervik, Stein Danielsen"
Collective Health,$2B,$719M,Health Care Service Corporation,United States,North America,"Ali Diab, Rajaie Batniji"
MindMaze,$2B,$340M,Concord Health Partners,Switzerland,Europe,Tej Tadi
Lusha,$2B,$245M,PSG Equity,United States,North America,"Yoni Tserruya, Assaf Eisenstein"
Zenoti,$2B,$331M,TPG,United States,North America,"Dheeraj Koneru, Sudheer Koneru, Anand Arvind, Saritha Katikaneni, Sunil Kumar"
Built Technologies,$2B,$313M,Citi,United States,North America,"Andrew Sohr, Chase Gilbert"
Paradox,$2B,$253M,Sapphire Ventures, Stripes,United States,Not Found
SmartRecruiters,$2B,$225M,Silver Lake Waterman,United States,North America,Jerome Ternynck
Apollo GraphQL,$2B,$152M,Insight Partners,United States,North America,"Matt DeBergalis, Aditya Phadke"
Heartflow,$2B,$783M,Bain Capital Life Sciences,United States,North America,"Charles Taylor, John Stevens"
NextSilicon,$2B,$203M,Third Point Ventures,Israel,Asia,Elad Raz
1047 Games,$2B,$117M,Lightspeed Venture Partners,United States,North America,"Ian Proulx, Nicholas Bagamian"
HAI ROBOTICS,$2B,$285M,Capital Today,China,Asia,"Richie Chen, Shengdong Xu, Bing Fang"
Mu Sigma,$2B,$212M,Mastercard,India,Asia,Dhiraj Rajaram
impact.com,$2B,$361M,Qatar Investment Authority,United States,North America,"Alison Chew, Lisa Riolo, Per Pettersen, Roger Kjensrud, Todd Crawford, Wade Crang"
Strava,$2B,$152M,Sequoia Capital, TCV,United States,"Michael Horvath, Mark Gainey"
Tujia,$2B,$755M,All-Stars Investment, Trip.com,China,"Luo Jun, Melissa Yang"
NotCo,$2B,$433M,Princeville Capital,Chile,South America,"Matias Muchnick, Karim Pichara, Pablo Zamora"
Snapdocs,$2B,$253M,Tiger Global Management,United States,North America,Aaron King
Prometheus,$2B,$150K,Maersk Growth,United States,North America,"Rob McGinnis, Julius Volz, Nate, Randy"
Culture Amp,$2B,$257M,HSG, TDM Growth Partners,Australia,"Didier Elzinga, Rod Hamilton, Doug English, Jon Williams"
AppDirect,$2B,$431M,Caisse de Depot et Placement du Quebec,United States,North America,"Daniel Saks, Nicolas Desmarais"
Spark Education Group,$2B,$593M,Trustbridge Partners,China,Asia,"Mark LUO, Xiaonan Wang, Anita Nasiri, Arian Nasiri"
Uplight,$2B,$0,AES, Huck Capital,United States,Adrian Tuck
fabric,$2B,$294M,SoftBank Vision Fund,United States,North America,"Sherri Barry, Angela Johnson"
Berachain,$2B,$142M,BH Digital, Framework Ventures,United States,"Homme Bera, Dev Bear, Papa Bear, Smokey The Bera"
Sigma Computing,$2B,$558M,Avenir, Spark Capital,United States,"Rob Woollen, Jason Frantz"
Pacaso,$2B,$217M,SoftBank Vision Fund,United States,North America,"Austin Allison, Spencer Rascoff"
Huntress,$2B,$270M,Kleiner Perkins, Meritech Capital Partners,United States,Kyle Hanslovan
Skild AI,$2B,$300M,Bezos Expeditions, Coatue,United States,"Deepak Pathak, Abhinav Gupta"
Ascend Money,$2B,$345M,MUFG Bank,Thailand,Asia,Suphachai Chearavanont
Sakana AI,$2B,$244M,Global Brain Corporation, JAFCO,Japan,"David Ha, Llion Jones, Ren Ito"
Tyme Group,$2B,$567M,Nubank,Singapore,Asia,"Coen Jonker, David Vélez, Matthias Kuss, Jürgen Wier"
Plata,$2B,$160M,Kora,Mexico,North America,Neri Tollardo
Fleetio,$2B,$620M,Elephant, Goldman Sachs Alternatives,United States,"Tony Summerville, Jessica Underbrink"
Chapter,$2B,$184M,Stripes,United States,North America,"Lawrence Stevenson, Walter W. Ross, Sally Rogers McSpadden"
Kushki,$2B,$194M,Hedosophia, Kaszek,Ecuador,"Sebastian Castro Galnares, Aron Schwarzkopf, David Mattos"
Yubi,$2B,$227M,B Capital, Dragoneer Investment Group,India,"Gaurav Kumar, FarMartYubi"
Rad Power Bikes,$2B,$329M,Fidelity,United States,North America,"Mike Radenbaugh, Ty Collins, Marimar White-Espin"
Upside,$2B,$65M,General Catalyst,United States,North America,Not Found
Arcadia,$2B,$540M,Macquarie Asset Management,United States,North America,"Kiran Bhatraju, Kate Henningsen"
Mashgin,$2B,$74M,New Enterprise Associates,United States,North America,"Abhinai Srivastava, Mukul Dhankhar"
Dock,$2B,$280M,Lightrock, Silver Lake Waterman,Brazil,Not Found
Vayyar,$2B,$296M,Koch Disruptive Technologies,Israel,Asia,"Raviv Melamed, Miri Ratner, Naftali Chayat"
5ire,$2B,$121M,SRAM & MRAM,United Kingdom,Europe,"Pratik Gauri, Vilma Mattila, Prateek Dwivedi"
Orna Therapeutics,$2B,$321M,Merck KGaA,United States,North America,"Alex Wesselhoeft, Daniel Anderson, Raffaella Squilloni"
Tailscale,$2B,$275M,Accel,Canada,North America,"Avery Pennarun, David Carney, David Crawshaw"
Jasper,$2B,$131M,Insight Partners,Canada,North America,"Dave Rogenmoser, Chris Hull, John Morgan, John O'Connor"
HashKey,$2B,$130M,Gaorong Capital,Hong Kong,Asia,"Tony Chen, Dr Xiao Feng"
Chunqing Technology,$2B,$235M,Boyu Capital, Guangzhou Yuexiu Industrial Investment Fund,China,"Shengdong Xu, Zhang Quan"
Xpressbees,$2B,$553M,Teachers' Venture Growth,India,Asia,"Supam Maheshwari, Amitava Saha"
OpenWeb,$2B,$393M,Georgian,United States,North America,"Nadav Shoval, Tom Chavez"
Stord,$2B,$405M,Strike Capital,United States,North America,"Sean Henry, Jacob Boudreau"
slice,$2B,$307M,Tiger Global Management,India,Asia,"Rajan Bajaj, Deepak Malhotra, Yannick Darmalingam, Farouk Ismail"
Placer.ai,$2B,$268M,Buckley Ventures, Josh Buckley,United States,"Noam Ben-Zvi, Zohar Ben-Yehuda, Ofir Lemel, Oded Fossfeld"
SellerX,$1B,$830M,Sofina,Germany,Europe,"Malte, Philipp"
PAPER,$1B,$390M,Sapphire Ventures, SoftBank Vision Fund,Canada,"David Carruthers, William Augustus Russell, Hugh J. Chisholm"
InMyShow,$1B,$106M,SAIF Partners, SINA Corporation,China,Li Meng
Dt Dream,$1B,$267M,Zhejiang State Enterprise Reform and Development Fund, ZSVC,China,Jingchuan Wu
Cult.fit,$1B,$625M,Valecha Investments,India,Asia,"Mukesh Bansal, Ankit Nagori"
eSign,$1B,$186M,,China,Asia,"Jin Hongzhou, Thomas Taylor"
Panshi,$1B,$655M,Cybernaut Venture Capital,China,Asia,"Angel Jin, Dike Hou, Patrick Chen, Tian Ning"
Snack Is Busy,$1B,$199M,Haoxiangni Jujube Industry, Yankershop Food,China,"Yan Zhou, Zhao Yiming"
Yuze Semiconductor,$1B,$177M,,China,Asia,Not Found
Huasun Energy,$1B,$629M,China Green Development Investment Group,China,Asia,Xiaohua Xu
Job&Talent,$1B,$993M,Kinnevik, SoftBank Vision Fund,Spain,"Felipe Navío, Juan Urdiales"
Judo Bank,$1B,$868M,,Australia,Oceania,"Joseph Healy, David Hornery"
Ouyeel,$1B,$468M,,China,Asia,Not Found
Tuandaiwang,$1B,$351M,China Minsheng Investment Group,China,Asia,Lin Zhang
United Aircraft,$1B,$459M,Longjiang Fund,,,"Frederick Rentschler, George J. Mead, William E. Boeing, Frederick B. Rentschler"
IAD France,$1B,$364M,Insight Partners,France,Europe,"Malik Benrejdal, Jérôme Chabin, Sébastien Caill"
Aleo,$1B,$249M,Kora, SoftBank Vision Fund,United States,"Howard Wu, Alex Pruden"
M1 Holdings,$1B,$323M,SoftBank Vision Fund,United States,North America,Brian Barnes
Amagi Media Labs,$1B,$322M,General Atlantic,United States,North America,"Baskar Subramanian, Srividya Srinivasan, Srinivasan KA"
Coocaa,$1B,$218M,Baidu,China,Asia,Jean-Francois Baril
T3 Mobile Travel Services,$1B,$3B,CITIC Capital Holdings,China,Asia,Not Found
Netradyne,$1B,$288M,Point72 Ventures,United States,North America,"David Julian, Avneesh Agrawal"
Seasun Games,$1B,$142M,Tencent,China,Asia,Bojun Qiu
Ledger,$1B,$575M,Molten Ventures,France,Europe,"Eric Larchevêque, David Balland"
Ryefield Energy,$1B,$142M,Sparkedge Capital,China,Asia,"Clayton Howard Riddell, Clay H. Riddell"
Soterea,$1B,$204M,Ping An Capital,China,Asia,Artur Filipowicz
Bordrin Motors,$1B,$362M,,China,Asia,Huang Ximing
Scalable Capital,$1B,$379M,Balderton Capital,Germany,Europe,"Erik Podzuweit, Florian Prucker, Adam French"
GupShup,$1B,$484M,Tiger Global Management,United States,North America,Beerud Sheth
Clarify Health Solutions,$1B,$328M,SoftBank Vision Fund,United States,North America,"Jean Drouin, Todd Gottula"
Rebel Foods,$1B,$749M,Qatar Investment Authority,India,Asia,"Jaydeep Barman, Kallol Banerjee"
Figment,$1B,$164M,Thoma Bravo,United States,North America,"Lorien Gabel, Andrew Cronk, Matt Harrop, Ryan Funduk"
Yotpo,$1B,$436M,Shopify,United States,North America,"Tomer Tagrin, Omri Cohen"
Panther,$1B,$141M,Coatue,United States,North America,"Huey P. Newton, Bobby Seale"
VideoAmp,$1B,$532M,Vista Credit Partners,United States,North America,"Dave Gullo, Ross McCray, Abhay Singh, Jay Prasad"
Salt Security,$1B,$271M,CrowdStrike Falcon Fund,United States,North America,"Roey Eliyahu, Michael Nicosia"
Envoy,$1B,$170M,Brookfield Growth,United States,North America,Larry Gadea
Deliverect,$1B,$237M,Alkeon Capital, Coatue,Belgium,"Zhong Xu, Jan Hollez, Jerome Laredo, Jelte Vrijhoef"
Astranis,$1B,$703M,Andreessen Horowitz, BAM Elevate,United States,"John Gedmark, Ryan McLinko"
Away,$1B,$181M,Wellington Management,United States,North America,"Jen Rubio, Steph Korey"
Cabify,$1B,$472M,Mutua Madrileña,Spain,Europe,"Juan de Antonio, Adeyemi Ajao, Adrian Merino, Brendan Wallace, Francisco Montero, Sam Lown, Vicente Pascual, Marcio William, Vinicius Gracia, Tallis Gomes, Bankole Cardoso"
Tripledot Studios,$1B,$252M,The Twenty Minute VC,United Kingdom,Europe,"Lior Shiff, Eyal Chameides, Akin Babayigit"
Pristyn Care,$1B,$177M,Sequoia Capital,India,Asia,"Harsimarbir Singh, Vaibhav Kapoor, Garima Sawhney"
Epidemic Sound,$1B,$509M,Blackstone Group, EQT,Sweden,"Peer Åström, David Stenmarck, Oscar Höglund, Hjalmar Winbladh, Jan Zachrisson"
Papa,$1B,$241M,SoftBank Vision Fund,United States,North America,John Schnatter
Maya,$1B,$502M,Susquehanna International Group,Philippines,Asia,Not Found
Degreed,$1B,$390M,Riverwood Capital, Sapphire Ventures,United States,"David Blake, David Wiley, Eric Sharp"
Stash,$1B,$572M,Goodwater Capital,United States,North America,"Brandon Krieg, Ed Robinson"
Firebolt,$1B,$264M,Alkeon Capital,Israel,Asia,"Arnav Kishore, Aayushi Kishore"
Hike,$1B,$261M,Jump Crypto,India,Asia,"Kavin Bharti Mittal, Anthony David Adams"
Symphony Communication Services,$1B,$511M,Mitsubishi UFJ Financial Group, Standard Chartered Bank,United States,David Gurle
TaxBit,$1B,$253M,IQT,United States,North America,"Justin Woodward, Bobby Clayson, Brandon Woodward, Austin Woodward"
Route,$1B,$289M,Hanaco Venture Capital,United States,North America,"Mike Moreno, Evan Walker"
Paddle,$1B,$293M,Kohlberg Kravis Roberts,United Kingdom,Europe,Christian Owens
OHouse,$1B,$261M,Bond,South Korea,Asia,Seungjae Lee
Wealthfront,$1B,$205M,UBS,United States,North America,"Andy Rachleff, Dan Carroll"
LIQUiDITY Group,$1B,$114M,MUFG Bank,United States,North America,"Yaron Sela, Ron Daniel, Oron Maymon"
Liquid Death,$1B,$261M,Science,,,Mike Cessario
AI21 Labs,$1B,$627M,Google, NVIDIA,Israel,"Yoav Shoham, Ori Goshen, Amnon Shashua"
eFishery,$1B,$310M,G42 Expansion Fund,Indonesia,Asia,"Chrisna, Gibran Huzaifah"
Nium,$1B,$338M,Moore Strategic Ventures,Singapore,Asia,"Prajit Nanu, Michael Bermingham, Pratik Gandhi"
Phenom,$1B,$161M,B Capital,United States,North America,"Brad Goldoor, Mahe Bayireddi, Dan Ringwald, Hari Bayireddy"
Eon,$1B,$197M,Bond,United States,North America,Not Found
Aragen Life Sciences,$1B,$125M,Quadria Capital,India,Asia,Manni Kantipudi
Avathon,$1B,$286M,AEI Horizon X, Alan Howard,United States,Amir Husain
Employment Hero,$1B,$460M,TCV,Australia,Oceania,"Ben Thompson, Dave Tong"
CanSemi,$1B,$981M,Guangzhou Industrial Investment Group,China,Asia,Richard Chang
FPL Technologies,$1B,$254M,MacRitchie Investments,India,Asia,"Anurag Sinha, Vibhav Kirit Hathi, Hari Velayudan, Rupesh Kumar"
OVO Energy,$1B,$581M,Mitsubishi Corporation,United Kingdom,Europe,"Stephen Fitzpatrick, Sophy"
Neon,$1B,$853M,M12 - Microsoft's Venture Fund,Brazil,South America,Not Found
Xingji Meizu,$1B,$276M,Asia Investment Fund, Harvest Global Investments,China,"Li Shufu, Huang Xiuzhang, EricLi, Jack Wong"
LONGi Hydrogen Energy,$1B,$138M,,,,Li Zhenguo
EverlyWell,$1B,$250M,Trish Costello,United States,North America,Julia Cheek
Narwal Robotics,$1B,$114M,Beijing Robot Industry Fund, Tencent,China,Junbin Zhang
Included Health,$1B,$344M,The Carlyle Group,United States,North America,"Owen Tripp, Colin Quinn, Joshua Riff"
Movable Ink,$1B,$97M,Silver Lake Waterman,United States,North America,"Vivek Sharma, Michael Nutt, Jordan Cohen"
SingleStore,$1B,$414M,Goldman Sachs, Prosperity7 Ventures,United States,"Nikita, Adam"
Epirus,$1B,$537M,8VC, Washington Harbour Partners,United States,"Grant Verstandig, Bo Marr, Nathan M, John T, Andy Lowery"
At-Bay,$1B,$296M,ION Crossover Partners,United States,North America,"Rotem Iram, Etai Hochman, Roman Itskovich"
Weidian Group,$1B,$368M,Tencent,China,Asia,Ke Wang
New Leshi Smart Home,$1B,$2B,JD.com, Sunac China Holdings,China,Yueting Jia
ONE Championship,$1B,$565M,Qatar Investment Authority,Singapore,Asia,"Chatri Sityodtong, Victor Cui"
Jaguar Microsystems,$1B,$0,Tencent,China,Asia,Sunny Siu
GP Club,$1B,$67M,,South Korea,Asia,Not Found
Signifyd,$1B,$409M,Owl Rock Capital,United States,North America,"Michael Liberty, Rajesh Ramanand"
RIDI,$1B,$181M,GIC,South Korea,Asia,"Minseok Kwon, Kisik Bae"
stc pay,$1B,$200M,Western Union,Saudi Arabia,Asia,"Abdulkarim Giraud, Abdulqader Alharbi, Ahmed Alenazi, Iyas Alhabib, Khalid Algarni"
Human Interest,$1B,$740M,Baillie Gifford, Marshall Wace,United States,"Roger Lee, Paul Sawaya"
TEKEVER,$1B,$96M,Baillie Gifford, NATO Innovation Fund,Portugal,"Ricardo Mendes, Pedro Sinogas"
AG1,$1B,$115M,Alpha Wave Global,United States,North America,Chris Ashenden
Pilot,$1B,$172M,Bezos Expeditions, Sequoia Capital,United States,Not Found
Gymshark,$1B,$262M,General Atlantic,United Kingdom,Europe,Ben Francis
Intercom,$1B,$241M,Kleiner Perkins,United States,North America,"Eoghan McCabe, Des Traynor, Ciaran Lee, David Barrett"
Yugabyte,$1B,$291M,Sapphire Ventures,United States,North America,"Kannan Muthukkaruppan, Karthik Ranganathan, Mikhail Bautin"
CoinTracker,$1B,$102M,Accel,United States,North America,"Jon Lerner, Chandan Lodha"
iTrustCapital Inc.,$1B,$128M,Left Lane Capital,United States,North America,"Todd Southwick, Blake Skadron, Morgan Steckler"
Konfio,$1B,$378M,QED Investors, Tarsadia Capital,Mexico,"David Arana, Francisco Padilla"
Domestika,$1B,$130M,Zeev Ventures,United States,North America,"Julio G Cotorruelo, Gabriel Suchowolski, Tomy Pelluz"
Betterment,$1B,$335M,Treasury,United States,North America,"Jon Stein, Eli Broverman"
Flock Freight,$1B,$459M,O'Neil Strategic Capital,United States,North America,Oren Zaslansky
Haihe Biopharma,$1B,$318M,Warburg Pincus,China,Asia,Not Found
Kr Space,$1B,$482M,Gopher Asset Management, IDG Capital,China,"Chengcheng Liu, David Zhong"
Loadsmart,$1B,$336M,SOFTBANK Latin America Ventures,United States,North America,"Felipe Capella, Ricardo Salgado"
Clipboard Health,$1B,$94M,Sequoia Capital,United States,North America,"Wei Deng, Bo Lu"
Optibus,$1B,$260M,Volvo Group Venture Capital,Israel,Asia,"Amos Haggiag, Gady Shlasky, Eitan Yanovsky"
Equashield,$1B,$0,,United States,North America,"Eric Shem-Tov, Marino Kriheli"
MasterControl,$1B,$150M,Sixth Street,United States,North America,Jon Beckstrand
Mapbox,$1B,$614M,SoftBank,United States,North America,"Eric Gundersen, Young Hahn"
Keyfactor,$1B,$212M,Sixth Street,United States,North America,"Kevin von Keyserling, Ted Shorter"
Doc.com,$1B,$300M,Silver Rock Group,United States,North America,Charles Nader
Lukka,$1B,$201M,Animoca Capital,United States,North America,Not Found
Linktree,$1B,$166M,Coatue, Index Ventures,Australia,"Alex Zaccaria, Anthony Zaccaria, Nick Humphreys"
Zum,$1B,$341M,GIC,United States,North America,"Ritu Narayan, Vivek Garg, Abhishek Garg"
DistroKid,$1B,$0,Insight Partners,United States,North America,Philip Kaplan
24M Technologies,$1B,$182M,Nuovo Plus,United States,North America,"Yet Ming Chiang, Throop Wilder"
Underdog Fantasy,$1B,$115M,Spark Capital,United States,North America,Jeremy Levine
Wilson Wolf Corporation,$1B,$257M,Bio-Techne,United States,North America,John Wilson
BYD Semiconductor,$1B,$378M,,China,Asia,Wang Chuanfu
Gemini,$1B,$424M,Draper Dragon,United States,North America,"Tyler Winklevoss, Cameron Winklevoss"
Zhidou,$1B,$2B,Geely,China,Asia,"Geely Holding Group, XDY Machinery, GSR Ventures, Bao Wenguang, Zhang Jian"
1mg,$1B,$200M,Tata Digital,India,Asia,"Gaurav Agarwal, Prashant Tandon, Vikas Chauhan"
The Good Glamm Group,$1B,$184M,Warburg Pincus,India,Asia,"Darpan Sanghvi, Priyanka Gill"
Juwan Technology,$1B,$166M,Guangzhou Automobile Group,China,Asia,"Qing Lu, Tony Han, Yan Li"
Purplle,$1B,$476M,Abu Dhabi Investment Authority, Premji Invest,India,"Manish Taneja, Rahul Dash, Suyash Katyayani"
Talos,$1B,$145M,General Atlantic,United States,North America,"Anton Katz, Ethan Feldman, Tim Duncan"
ClassDojo,$1B,$191M,Tencent,United States,North America,"Sam Chaudhary, Liam Don"
Chipper Cash,$1B,$337M,Alameda Research,United States,North America,"Ham Serunjogi, Maijid Moujaled"
Flipdish,$1B,$157M,Tencent,Ireland,Europe,"Conor McCarthy, James McCarthy"
Incode Technologies,$1B,$257M,General Atlantic, SoftBank,United States,Ricardo Amper
Tackle,$1B,$148M,Andreessen Horowitz, Coatue,United States,"Dillon Woods, Brian Denker"
Kuaikan Manhua,$1B,$594M,Tencent,China,Asia,Chen Anni
Sidewalk Infrastructure Partners,$1B,$800M,StepStone Group,United States,North America,"Brian Barlow, Jonathan Winer"
Honor,$1B,$325M,Baillie Gifford,United States,North America,"Cameron Ring, Monica Lo, Seth Sternberg, Sandy Jen"
CaptivateIQ,$1B,$165M,Accel, ICONIQ Growth,United States,"Mark Schopmeyer, Hubert Wong, Conway Teng"
airSlate,$1B,$132M,G Squared,United States,North America,"Borya Shakhnovich, Vadim Yasinovsky"
Clay,$1B,$102M,Meritech Capital Partners,United States,North America,"Varun Anand, Kareem Amin"
Belief BioMed,$1B,$204M,Qiming Venture Partners,China,Asia,Xiao Xiao
Grover,$1B,$283M,Energy Impact Partners,Germany,Europe,Michael Cassau
Instabase,$1B,$292M,Qatar Investment Authority,United States,North America,Anant Bhardwaj
SeatGeek,$1B,$400M,Accel,United States,North America,"Jack Groetzinger, Russ D'Souza"
ETCP,$1B,$280M,Wanda E-Commerce,China,Asia,"谭龙, Erin Ellis, Sarah Gaitens"
inDrive,$1B,$237M,Insight Partners,United States,North America,Arsen Tomsky
MicroPort CardioFlow,$1B,$130M,,China,Asia,Not Found
Spiber,$1B,$585M,The Carlyle Group,Japan,Asia,"Kazuhide Sekiyama, Sugahara Junichi"
Public,$1B,$414M,Accel,United States,North America,"Wayne Hughes, Ken Volk"
TBM,$1B,$181M,SK Group,Japan,Asia,"Paul Crouch, Jan Crouch"
Castore,$1B,$188M,Raine Ventures,United Kingdom,Europe,"Tom Beahon, Phil Beahon"
Moneyview,$1B,$188M,Accel,India,Asia,"Sanjay Aggarwal, Puneet Agarwal"
Clean Planet,$1B,$9M,Miura Co,Japan,Asia,"Akin Pandit, Hideki Yoshino, Carolin Santana, Gagan Singh, Vijay Thomas"
Workhuman,$1B,$9M,Atlas Venture,Ireland,Europe,"Eric Mosley, Derek Irvine"
Viz,$1B,$292M,CIBC Innovation Banking,United States,North America,Chris Donald
Mensa Brands,$1B,$218M,Alpha Wave Global,India,Asia,Ananth Narayanan
Gem,$1B,$148M,ICONIQ Growth,United States,North America,Not Found
Copado,$1B,$271M,Insight Partners,United States,North America,"Federico Larsen, Philipp Rackwitz"
MindTickle,$1B,$281M,SoftBank Vision Fund,United States,North America,"Mohit Garg, Deepak Diwakar, Nishant Mungali, Krishna Gopal Depura"
Choco,$1B,$336M,G Squared,Germany,Europe,"Daniel Khachab, Julian Hammer, Rogério Da Silva Yokomizo"
Ada,$1B,$191M,Spark Capital,Canada,North America,Charles Hoskinson
CarDekho,$1B,$508M,Navis Capital Partners,India,Asia,"Amit Jain, Anurag Jain"
Berlin Brands Group,$1B,$800M,Ardian,Germany,Europe,"Christian Wegner, Peter Chaljawski"
SeekOut,$1B,$189M,Tiger Global Management,United States,North America,"Anoop Gupta, Aravind Bala, Vikas Manocha, John Tippett"
Qumulo,$1B,$347M,BlackRock Private Equity Partners,United States,North America,"Neal Fachan, Peter Godman, Aaron Passey"
Offchain Labs,$1B,$124M,Lightspeed Venture Partners,United States,North America,"Steven Goldfeder, Edward Felten"
Human Longevity,$1B,$370M,TVM Capital Healthcare,United States,North America,"Craig Venter, Robert Hariri, Peter Diamandis"
Multichain,$1B,$60M,YZi Labs,Singapore,Asia,"Chudgar Nirav Chandrakant, Zhaojun Zhaojun"
SmartMore Corporation Limited,$1B,$300M,Hong Kong Investment Corporation Limited,China,Asia,"Jiaya Jia, Shu Liu, Xiaoyong SHEN"
Dianrong,$1B,$549M,Affirma Capital, Standard Chartered Private Equity,China,"Soul Htite, Kevin Guo"
BigPanda,$1B,$313M,UBS, Wells Fargo Strategic Capital,United States,Assaf Resnick
iCarbonX,$1B,$200M,China Bridge Capital,China,Asia,"Chun Wu, Hao Li, Jun Wang, Yingrui Li"
Tealium,$1B,$264M,Georgian, Silver Lake Waterman,United States,"Mike Anderson, Ali Behnam, Olivier Silvestre"
Hailo,$1B,$341M,Gil Agmon, Poalim Equity,Israel,"Orr Danon, Avi Baum, Hadar Zeitlin, Rami Feig, Jay Bregman, Ron Zeghibe, Caspar Woolley, Russell Hall, Gary Jackson, Terry Runham"
Oyster,$1B,$288M,ServiceNow Ventures,United States,North America,"Eric Stromberg, Andrew Brown, Willem Van Lancker"
Unit,$1B,$170M,Insight Partners,United States,North America,Not Found
Stori,$1B,$330M,BAI capital, Notable Capital,Mexico,"Bin Chen, GY Liu, Marlene Garayzar, Nick Chen, Sherman He"
Our Next Energy,$1B,$390M,Crescent Ventures,United States,North America,"Libby Wayman, Mujeeb Ijaz"
Porter,$1B,$332M,Kedaara Capital, Wellington Management,India,Founders Brewing Co
EGYM,$1B,$580M,L Catterton, Meritech Capital Partners,Germany,"Philipp Roesch-Schlanderer, Florian Sauter, Ulf Gehrckens"
ZYBER 365,$1B,$100M,SRAM & MRAM,India,Asia,Pearl Kapur
Figure,$1B,$347M,Morgan Creek Digital,United States,North America,Not Found
AgentSync,$1B,$161M,Craft Ventures, Valor Ventures,United States,"Jenn Knight, Niji Sabharwal"
Vectra AI,$1B,$353M,TCV,United States,North America,Not Found
Merama,$1B,$394M,monashees,Mexico,North America,"Sujay Tyle, Renato Andrade, Olivier Scialom, Osman Mendoza, Felipe Delgado, Guilherme Nosralla, Jazo Madrid Ramírez, Manuel José León"
Iyuno-SDI,$1B,$206M,IMM Investment,United States,North America,"David Lee, Lee Hyon-moo"
Form Energy,$1B,$1B,T. Rowe Price,United States,North America,Not Found
boAt,$1B,$108M,Qualcomm Ventures,India,Asia,"Aman Gupta, Sameer Mehta"
Qdama,$1B,$142M,Hezhi Investment,China,Asia,"Feng Weihua, Jisheng Feng, Qin Song"
Creatio,$1B,$268M,Sapphire Ventures,United States,North America,Katherine Kostereva
Helium,$1B,$365M,Andreessen Horowitz, Tiger Global Management,United States,"Amir Haleem, Shawn Fanning, Sean Carey"
Hightouch,$1B,$172M,Sapphire Ventures,United States,North America,"Kashish Gupta, Tejas Manohar, Joshua Curl"
Nerdio,$1B,$625M,General Atlantic,United States,North America,"Joseph Landes, Raj Amin, Vadim Vladimirskiy"
Livspace,$1B,$478M,Kohlberg Kravis Roberts,India,Asia,"Anuj Srivastava, Ramakant Sharma"
Droom,$1B,$336M,Finvolve, IA Growth Opportunities Fund,India,"Sandeep Aggarwal, Rishab Malik"
XLMEC,$1B,$1B,China Integrated Circuit Industry Investment Fund (CICF),China,Asia,Not Found
Flip,$1B,$239M,Streamlined Ventures,United States,North America,"Jonathan Ellman, Noor Agha"
Mews,$1B,$417M,Tiger Global Management,United Kingdom,Europe,"Richard Valtr, Matthijs Welle"
Shiprocket,$1B,$425M,KdT Ventures,India,Asia,"Saahil Goel, Gautam Kapoor, Vishesh Khurana, Akshay Ghulati"
Rohlik,$1B,$785M,European Bank for Reconstruction and Development,Czech Republic,Europe,Tomáš Čupr
V3 Group,$1B,$268M,Kohlberg Kravis Roberts,Singapore,Asia,Ron Sim
Arqiva,$1B,$0,CPP Investments,United Kingdom,Europe,Not Found
Proteus Digital Health,$1B,$460M,Harbin Gloria Pharmaceuticals,United States,North America,"Andrew Thompson, George Savage, Mark Zdeblick"
Modern Health,$1B,$167M,Founders Fund,United States,North America,"Alyson Watson, Alyson Friedensohn"
Innovusion,$1B,$278M,Hermitage Capital,United States,North America,"Yimin Li, Junwei Bao"
Fenergo,$1B,$760M,Astorg, Bridgepoint,Ireland,"Marc Murphy, Philip Burke, Cian Kinsella"
Alisports,$1B,$174M,YF Capital,China,Asia,"Dazhong Zhang, Zhang Yong"
Replit,$1B,$222M,Craft Ventures,United States,North America,"Amjad Masad, Haya Odeh, Luis Héctor Chávez, Michele Catasta, Scott Kennedy"
Alphaeon,$1B,$223M,Sailing Capital,United States,North America,Robert Grant
E-Life Financial Services,$1B,$356M,H Capital Advance,China,Asia,Not Found
